Tweet ID,Date,Positive Sentiments,Neutral Sentiments,Negative Sentiments
8.73666E+17,10/21/18 21:12,0.136363636,0,0
1372272469,10/21/18 21:12,0.416666667,0,0
8.76398E+17,10/21/18 21:12,0.136363636,0,0
3000517451,10/21/18 21:12,0.136363636,0,0
265131465,10/21/18 21:11,0.15,0,0
7.54736E+17,10/21/18 21:11,0,0,0
172228270,10/21/18 21:11,0,0,-0.166666667
1323657276,10/21/18 21:11,0.175,0,0
54238235,10/21/18 21:11,0.243333333,0,0
8.59927E+17,10/21/18 21:11,0.037142857,0,0
328149082,10/21/18 21:11,0.3,0,0
1.02741E+18,10/21/18 21:11,0.67,0,0
58135710,10/21/18 21:11,0,0,-0.083333333
627314754,10/21/18 21:11,0,0,0
244117260,10/21/18 21:11,0.5,0,0
7.73114E+17,10/21/18 21:10,0,0,0
1078579459,10/21/18 21:10,0,0,0
217355610,10/21/18 21:10,0,0,0
102210236,10/21/18 21:10,0,0,0
314967204,10/21/18 21:10,0,0,0
44716793,10/21/18 21:10,0.1,0,0
8.50474E+17,10/21/18 21:10,0,0,0
2958651549,10/21/18 21:10,0,0,0
267282474,10/21/18 21:10,0,0,-0.097222222
17964708,10/21/18 21:10,0,0,0
8.36334E+17,10/21/18 21:10,0.275,0,0
1.04873E+18,10/21/18 21:09,0,0,-0.4
65777339,10/21/18 21:09,0,0,-0.180555556
2465063201,10/21/18 21:09,0.35,0,0
119572493,10/21/18 21:09,0.425,0,0
18399781,10/21/18 21:09,0,0,-0.035
7.6669E+17,10/21/18 21:09,0,0,0
2597055452,10/21/18 21:09,0.05,0,0
2841714842,10/21/18 21:09,0,0,0
2701466408,10/21/18 21:09,0,0,0
295501044,10/21/18 21:09,0,0,0
9.30856E+17,10/21/18 21:09,0,0,0
291696296,10/21/18 21:09,0,0,0
9.1728E+17,10/21/18 21:08,0,0,-0.4
428593142,10/21/18 21:08,0,0,0
7.06525E+17,10/21/18 21:08,0,0,0
9.95741E+17,10/21/18 21:08,0,0,0
192109189,10/21/18 21:08,0,0,0
90993961,10/21/18 21:08,0,0,-0.125
7.72984E+17,10/21/18 21:07,0,0,0
277955667,10/21/18 21:07,0.433333333,0,0
290682674,10/21/18 21:07,0,0,-0.3
9.44313E+17,10/21/18 21:06,0.5,0,0
39773721,10/21/18 21:06,0,0,0
3316677192,10/21/18 21:06,0.55,0,0
4536323368,10/21/18 21:06,0,0,0
21436676,10/21/18 21:06,0.5,0,0
312777029,10/21/18 21:06,0.318181818,0,0
9.8968E+17,10/21/18 21:06,0.2,0,0
715663784,10/21/18 21:06,0,0,0
14793737,10/21/18 21:06,0,0,0
7.6669E+17,10/21/18 21:06,0,0,0
1.00046E+18,10/21/18 21:06,0,0,-0.8
479183126,10/21/18 21:05,0,0,-0.6
23699215,10/21/18 21:05,0.3,0,0
90393035,10/21/18 21:05,0.167708333,0,0
44923497,10/21/18 21:05,0.1,0,0
445114111,10/21/18 21:05,0,0,-0.2
3344512144,10/21/18 21:04,0.03968254,0,0
7.35655E+17,10/21/18 21:04,0.136363636,0,0
1.04813E+18,10/21/18 21:04,0,0,0
1.00123E+18,10/21/18 21:04,0,0,0
7.41425E+17,10/21/18 21:04,0.425,0,0
3238421320,10/21/18 21:04,0,0,-0.102272727
7.47926E+17,10/21/18 21:04,0,0,0
4248531916,10/21/18 21:04,0.55,0,0
9.9854E+17,10/21/18 21:03,0,0,0
1704464533,10/21/18 21:03,0,0,0
294072389,10/21/18 21:03,0,0,0
94501586,10/21/18 21:03,0.118181818,0,0
2972425425,10/21/18 21:02,0.35,0,0
8.1126E+17,10/21/18 21:02,0,0,0
32993444,10/21/18 21:02,0,0,-0.5
7.64934E+17,10/21/18 21:02,0,0,0
8.48633E+17,10/21/18 21:02,0,0,0
7.62267E+17,10/21/18 21:02,0.5,0,0
8.591E+17,10/21/18 21:02,0,0,0
20012204,10/21/18 21:02,0.4,0,0
853653906,10/21/18 21:01,0,0,0
776853426,10/21/18 21:01,0.266666667,0,0
281711714,10/21/18 21:01,0,0,-0.05
1.02484E+18,10/21/18 21:01,0,0,0
2999432241,10/21/18 21:00,0,0,0
1279180105,10/21/18 21:00,0.5,0,0
421548401,10/21/18 21:00,0,0,0
3356846829,10/21/18 21:00,0.5,0,0
9.89552E+17,10/21/18 21:00,0,0,0
1.0073E+18,10/21/18 21:00,0.426785714,0,0
115219217,10/21/18 21:00,0.8,0,0
8.72429E+17,10/21/18 21:00,0,0,0
449974499,10/21/18 21:00,0,0,0
542157593,10/21/18 21:00,0,0,0
104536403,10/21/18 21:00,0,0,0
24036264,10/21/18 21:00,0,0,0
167781199,10/21/18 21:00,0,0,0
85314001,10/21/18 21:00,0.252777778,0,0
2324599476,10/21/18 21:00,0,0,0
159350936,10/21/18 21:00,0.4,0,0
523888311,10/21/18 20:59,0,0,0
1.0148E+18,10/21/18 20:59,0,0,-0.2
9.89552E+17,10/21/18 20:59,0,0,0
512694530,10/21/18 20:59,0,0,0
7.34091E+17,10/21/18 20:59,0,0,0
326544391,10/21/18 20:59,0,0,0
