id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Occurrences>
176,thing,-0.0154,-0.1008,1,123,383,279
177,time,0.166,-0.054,2,114,408,290
178,today,-0.3091,0.0217,2,63,122,97
179,track,-0.1218,0.5609,6,34,67,47
180,trump,0.1925,-0.6746,15,147,1062,835
181,trump kanye,0.2404,-0.2762,1,33,58,70
182,trump meeting,-0.8085,-0.7033,7,13,75,49
183,trump supporter,-0.3393,-0.1797,2,32,55,38
184,truth,0.0914,-0.4354,1,30,63,56
185,tweet,0.2342,0.0681,11,60,127,92
186,twitter,0.1888,0.0271,8,50,107,79
187,uganda,-0.3083,0.5225,3,52,246,200
188,video,1.5384,-0.2847,14,99,457,326
189,video dave chappelle,0.6782,-2.2461,15,1,27,27
190,video kanye,-0.4693,0.4106,3,44,168,134
191,video kanye west & lil pump ft adele,3.0327,0.719,10,2,46,24
192,video playlist,0.9569,0.3453,10,13,30,37
193,video playlist kanye west & lil pump ft adele,3.1541,0.7461,10,2,43,22
194,video vic mensa lana,-2.3224,0.1596,12,3,75,25
195,view,-0.3018,-0.1367,7,54,131,73
196,watch,-0.4298,0.5266,3,35,113,83
197,way,-0.0986,-0.1057,4,90,224,166
198,week,-0.0512,0.1813,6,65,144,109
199,west,-0.0261,0.0657,3,72,142,182
200,what,-0.3546,-0.1288,2,30,51,38
201,white house,-0.0643,0.0837,3,65,166,109
202,white supremacist,0.3836,0.1764,4,18,37,28
203,wife,-0.3013,-0.1031,2,48,90,57
204,wish,0.3511,-0.1887,1,20,28,36
205,woman,-0.116,-0.2073,1,39,83,64
206,word,0.084,-0.2229,1,53,96,77
207,world,0.0797,-0.1269,1,64,144,94
208,yall,-0.0046,-0.0837,2,84,253,199
209,year,-0.021,0.0397,4,97,299,190
210,yeezy,-0.28,0.2163,3,45,103,92
