Tweet ID,Date,Positive Sentiments,Neutral Sentiments,Negative Sentiments
8.69238E+17,10/21/18 0:34,0,0,0
8.46869E+17,10/21/18 0:28,0,0,0
2401507808,10/21/18 0:27,0.05,0,0
8.75928E+17,10/21/18 0:18,0,0,0
4895140128,10/21/18 0:17,0,0,0
8.14205E+17,10/21/18 0:01,0,0,0
2218556806,10/20/18 23:33,0,0,0
3044136472,10/20/18 23:26,0,0,0
827926069,10/20/18 23:16,0,0,0
1326943459,10/20/18 22:50,0.6,0,0
7.63265E+17,10/20/18 22:49,0,0,0
3371804123,10/20/18 22:26,0,0,0
7.46065E+17,10/20/18 22:20,0.4,0,0
21831682,10/20/18 22:17,0,0,0
1621562390,10/20/18 22:04,0.2,0,0
8.27758E+17,10/20/18 21:59,0,0,0
3009276654,10/20/18 21:49,0,0,0
8.67353E+17,10/20/18 21:45,0,0,0
1001117971,10/20/18 21:44,0,0,-0.375
8.85219E+17,10/20/18 21:42,0.6,0,0
8.72902E+17,10/20/18 21:38,0,0,0
19671932,10/20/18 21:35,0,0,0
3764580918,10/20/18 21:32,0.195,0,0
2234164638,10/20/18 21:23,0.2,0,0
9.97135E+17,10/20/18 21:22,0,0,0
9.10265E+17,10/20/18 21:13,0.318181818,0,0
396117620,10/20/18 21:11,0,0,-0.2
1423558692,10/20/18 21:06,0,0,0
1.0378E+18,10/20/18 20:58,0,0,0
345179256,10/20/18 20:53,0.4,0,0
7.79781E+17,10/20/18 20:53,0,0,0
7.35163E+17,10/20/18 20:43,0.15,0,0
2329466554,10/20/18 20:30,0,0,0
7.71473E+17,10/20/18 20:30,0.4,0,0
338740247,10/20/18 20:22,0,0,0
8.55522E+17,10/20/18 20:20,0,0,0
1975059138,10/20/18 20:02,0,0,0
,[],0,0,0
500084598,10/20/18 19:51,0,0,0
3325811161,10/20/18 19:43,0,0,-0.291666667
3659204001,10/20/18 19:38,0,0,0
3195390296,10/20/18 19:35,0.333333333,0,0
1181521057,10/20/18 19:26,0,0,0
3248754100,10/20/18 19:21,0,0,0
1.04997E+18,10/20/18 19:18,0,0,0
741194701,10/20/18 18:59,0,0,0
345179256,10/20/18 18:52,0.8,0,0
1.02761E+18,10/20/18 18:39,0,0,0
1257218486,10/20/18 17:59,0,0,0
762530251,10/20/18 17:58,0,0,0
1257218486,10/20/18 17:57,0,0,0
9.32548E+17,10/20/18 17:54,0,0,0
9.44594E+17,10/20/18 17:48,0,0,0
1858257684,10/20/18 17:46,0,0,0
7.47273E+17,10/20/18 17:42,0,0,0
2887920795,10/20/18 17:31,0,0,0
9.92621E+17,10/20/18 17:28,0,0,0
1691803320,10/20/18 17:19,0,0,0
411015162,10/20/18 17:19,0,0,0
9.89424E+17,10/20/18 17:17,0,0,0
8.76556E+17,10/20/18 17:17,0,0,0
1.02393E+18,10/20/18 17:03,0.136363636,0,0
8.88084E+17,10/20/18 16:56,0.4,0,0
1.03818E+18,10/20/18 16:53,0.139583333,0,0
353805820,10/20/18 16:39,0.136363636,0,0
25704081,10/20/18 16:23,0,0,0
1622410249,10/20/18 16:17,0,0,0
