tweet_id,created,tweet,location,Hashtags
728297094402822144,2018-10-16 05:13:20,"@theneedledrop Just listening to ye - DAYTONA - KIDS SEE GHOSTS in order (Kanye really killed 2018, can't wait for… https://t.co/kNs0g6KHyI","Semarang Barat, Indonesia",[]
1021713519128047617,2018-10-16 05:08:53,#KanyeWest streams Yandhi recording session live from Uganda https://t.co/g4tYbqvdOd,United States,"[{'text': 'KanyeWest', 'indices': [0, 10]}]"
722185265121333248,2018-10-16 05:04:27,They Can Keep Him !Kanye West Is In Uganda Finishing His Album And People Are Mostly Stoked About It… https://t.co/lqOfRyQdI9,,[]
1031702591170859008,2018-10-16 05:03:53,#KanyeWest streams Yandhi recording session live from Uganda https://t.co/2GOmCQH9rV,United States,"[{'text': 'KanyeWest', 'indices': [0, 10]}]"
846972370862657536,2018-10-16 04:45:52,@theneedledrop Yandhi hasn’t dropped yet,"Queens Village, Queens",[]
86065859,2018-10-16 04:45:22,"Kanye retrasa la salida de ‘Yandhi’, su nuevo disco https://t.co/rxtDter1jb",Venezuela,[]
500084598,2018-10-16 04:44:45,@factosdabanda Ainda não encontrei alguém,,[]
355717978,2018-10-16 04:42:12,@_seth_harvey_ Yandhi got recorded in Africa there better be one song JUST as good as Toto’s Africa or I’m going to sue,"Hawaii, USA",[]
717049463198453760,2018-10-16 04:40:46,@harlie_west next to yandhi,,[]
4395016932,2018-10-16 04:36:41,Y’all need to stop being so unreasonably hard on him. How can Ye make more American jobs when he can’t even make Ya… https://t.co/4ONOcDL1D0,,[]
236422033,2018-10-16 04:31:45,@ddsulaeman_ @BlueHooligan_33 #HongkongDay,cibitung,"[{'text': 'HongkongDay', 'indices': [30, 42]}]"
2607837870,2018-10-16 04:28:09,"@kanyewest  Me and some students at Woodbury University in Burbank, CA are trying to make a rhythm game. Was wonder… https://t.co/MePiBvT6BX","Illinois, USA",[]
2947776279,2018-10-16 04:26:52,If Yandhi trash Kanye really done cause that Ye album was trash,215,[]
1045353806484164608,2018-10-16 04:18:24,"also, where is yandhi https://t.co/93MjjwlPtD","Georgetown, Washington",[]
1137751327,2018-10-16 04:06:13,@yasenkeyser @kanyewest @3DELLI @omarkeyser YANDHI is about to transform my life https://t.co/aExZTKJoXn,,[]
740319732662861824,2018-10-16 04:06:06,@therealmikedean Going to Africa brother? YANDHI.,Everywhere,[]
934423481382506496,2018-10-16 03:45:05,Ye in the studio making metaphors #newsound #YANDHI #supermancape #walkhard https://t.co/upFIrr0WBA,,"[{'text': 'newsound', 'indices': [34, 43]}, {'text': 'YANDHI', 'indices': [44, 51]}, {'text': 'supermancape', 'indices': [52, 65]}, {'text': 'walkhard', 'indices': [66, 75]}]"
4427072773,2018-10-16 03:35:40,*cries self to sleep because kanye still didn’t drop yandhi but ok*,,[]
39609983,2018-10-16 03:34:30,ye gets the world watching drops yandhi and it slaps,"Pennsylvania, USA",[]
1603586515,2018-10-16 03:23:43,"YANDHI 

https://t.co/UU9eIUChYO","Los Angeles, CA",[]
43165415,2018-10-16 03:20:23,LIVE FROM EAST AFRICA: Looking for inspiration in Uganda - https://t.co/bKJTuE8ntE via @qzafrica,"Washington, DC",[]
420875454,2018-10-16 03:09:12,".@KanyeWest delayed #Yandhi in the meantime, Go stream #Yondhi by Yon World (@OriginalDeYon) on Apple Music… https://t.co/XjrkTe9G68","California, USA","[{'text': 'Yandhi', 'indices': [20, 27]}, {'text': 'Yondhi', 'indices': [55, 62]}]"
786991325933608960,2018-10-16 03:07:02,".@KanyeWest delayed #Yandhi in the meantime, Go stream #Yondhi by Yon World (@OriginalDeYon) on Apple Music
https://t.co/YvDhT2h7Rv","Miami, FL","[{'text': 'Yandhi', 'indices': [20, 27]}, {'text': 'Yondhi', 'indices': [55, 62]}]"
31327090,2018-10-16 03:06:15,".@KanyeWest delayed #Yandhi in the meantime, Go stream #Yondhi by Yon World (@OriginalDeYon) on Apple Music
https://t.co/rQ04iMD8Bn",United States,"[{'text': 'Yandhi', 'indices': [20, 27]}, {'text': 'Yondhi', 'indices': [55, 62]}]"
