tweet_id,created,tweet ,location,Hashtags,
16462068,2018-10-15 05:00:00,funny or nah | alec baldwins donald trump back saturday night live stage time brought ka ,Jacksonville, Fla.,[],
2227607945,2018-10-15 03:44:08,paul simons performance snl iconic yall dont care bc hes kanye ,north carolina,[],
817581613597020161,2018-10-15 03:38:46,pete davidson snl- mk2ka make kanye 2007 ,Tulsa, OK,[],
770472700544421888,2018-10-15 03:35:09,kanye west - new slaves (live snl) via ,Tyranny, USA ,[],
87287287,2018-10-15 03:31:08,pete davidson blasts kanye west snl #kanyewest #petedavidson #snl ,Toronto.NYC.the Universe,[{'text': 'kanyewest', 'indices': [63, 73]}, {'text': 'petedavidson', 'indices': [74, 87]}, {'text': 'snl', 'indices': [88, 92]}],
15791186,2018-10-15 03:30:41,snl: alec baldwin returns trump kanye west oval office meeting spoof ,Houston, TX,[],
16376168,2018-10-15 03:30:00,alec baldwin embraces black trump crazed snl meeting kanye west ,Oklahoma, USA,[],
104625728,2018-10-15 03:26:53,weekend update: pete davidson kanye west - snl via ,Memphis, TN,[],
24108865,2018-10-15 03:17:53,just watching kanye skit #snl lmbo ,All over Northeast OH,[{'text': 'SNL', 'indices': [36, 40]}],
1037141866347745280,2018-10-15 03:15:47,seth meyers returned snl saturday picked right left he opened interesting monolo ,Hattiesburg, MS,[],
24700876,2018-10-15 03:10:41,alec baldwin roasts kanye wests trump meeting snl ,365 Bloor St. E., Toronto, ON,[],
1309152008,2018-10-15 03:08:37,im really troubled kanye publicly exploited n oval office laughed atridiculed ,,[],
127416296,2018-10-15 03:02:55,maybe pete hadnt came kanye snl n ari might still engaged  #kanyeshrug #unpopularopinion ,Southern California ,[{'text': 'kanyeshrug', 'indices': [81, 92]}, {'text': 'unpopularopinion', 'indices': [93, 110]}],
949390354683326464,2018-10-15 02:52:47,donald trump erupts twitter snl begins lampooning kanye west via ,Eugene, OR,[],
709862005,2018-10-15 02:33:10,#snl got funnier tired #kanye#trump cold open best thing watching #hulu ad season ,Salisbury, Md.,[{'text': 'SNL', 'indices': [0, 4]}, {'text': 'Kanye', 'indices': [33, 39]}, {'text': 'Trump', 'indices': [40, 46]}, {'text': 'Hulu', 'indices': [91, 96]}],
232577440,2018-10-15 02:31:56,called homeboy shouldnt gone crazy kanye snl ,Chasing Airplanes. ❤ NC Native,[],
770459438171971584,2018-10-15 02:28:20,hey guys im big kanye supporter rn either maybe making fun mental illness snl tad unnecessary ,,[],
467687178,2018-10-15 02:24:45,weekend update: pete davidson kanye west - snl via its sad day kanye w ,The Sonoran Desert,[],
791443966214365184,2018-10-15 02:20:14,trump praises kanye west leading charge anti-democrat speech snl publ ,ask why?,[],
15756056,2018-10-15 02:20:12,snl: alec baldwin returns trump kanye west oval office meeting spoof ,Spokane, Washington,[],
30788083,2018-10-15 02:14:29,snl riff kanye lovefest white house ,,[],
